icao24,firstseen,takeofftime,lastseen,landingtime,callsign,estdepartureairport,airportofdeparture,estarrivalairport,airportofdestination,model,typecode,registration,departure_time,arrival_time,departure_weather,arrival_weather,distance_km,fuel_burn_kg,co2_emissions_kg,weather_penalty_score,fuel_burn_kg_adjusted,co2_emissions_kg_adjusted,fuel_burn_kg_modeled,co2_emissions_kg_modeled,wind_direction_deg,wind_speed_kt,weather_penalty_factor,weather_adjusted_fuel_burn_kg,weather_adjusted_co2_emissions_kg,expected_flight_duration_sec,actual_flight_duration_sec,duration_deviation_ratio,deviation_type,deviation_flag,distance_penalty_km,predicted_fuel_burn_kg,anomaly_score,model_confidence,shap_top_feature
89643d,1662071963.0,0.0,1662075929,0.0,ETD315  ,OMAA,Unknown,OERK,Unknown,A321 231SL,A321,A6-AEG,1662071963.0,1662075929.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","OERK 091100Z 24004KT CAVOK 38/02 Q1015 NOSIG,OERK,2025-04-09T11:00:00Z,24.945,46.702,38,2,240,4,,6+,29.97,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,618",4789.1929245681895,21551.368160556853,68102.32338735966,0.05,22628.936568584697,71507.43955672765,21551.368160556853,68102.32338735966,290.0,14.0,0.02,21982.39552376799,69464.36985510685,20283.640621700568,3966.0,0.1955270295884138,Shortened Flight (Possible Direct Routing),1,0.0,21984.541392019433,9.760805163855363e-05,0.9994871490484888,distance_km
896441,1662046405.0,0.0,1662073010,0.0,ETD925  ,Unknown,Unknown,Unknown,Unknown,777 FFX,B77L,A6-DDD,1662046405.0,1662073010.0,No Weather Info,No Weather Info,5397.216902855278,24287.47606284875,76748.42435860205,0.0,24287.47606284875,76748.42435860205,24287.47606284875,76748.42435860205,,0.0,0.0,24287.47606284875,76748.42435860205,22858.80100032824,26605.0,1.1638843174503322,Normal,0,0.0,24288.139551375432,2.731738778425681e-05,0.9994871490484888,distance_km
89648a,1662022574.0,0.0,1662047126,0.0,ETD23N  ,EIDW,Unknown,OMAA,Unknown,Boeing 787 9,B789,A6-BLJ,1662022574.0,1662047126.0,"EIDW 091100Z 06008KT 020V100 CAVOK 14/03 Q1031 NOSIG,EIDW,2025-04-09T11:00:00Z,53.422,-6.298,14,3,60,8,,6+,30.44,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,75","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",2190.120637090872,9855.542866908923,31143.515459432205,0.05,10348.320010254372,32700.691232403817,9855.542866908923,31143.515459432205,60.0,8.0,0.0,9855.542866908923,31143.5154594322,9275.8050512084,24552.0,2.6468861586091124,Holding/Reroute,1,3606.879362909128,9855.74889250726,2.090410384670858e-05,0.9994871490484888,distance_km
89648a,1661996289.0,0.0,1662010603,1662010596.0,ETD72E  ,Unknown,OMAA,EIDW,EIDW,Boeing 787 9,B789,A6-BLJ,1661996289.0,1662010596.0,No Weather Info,"EIDW 091100Z 06008KT 020V100 CAVOK 14/03 Q1031 NOSIG,EIDW,2025-04-09T11:00:00Z,53.422,-6.298,14,3,60,8,,6+,30.44,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,75",6352.278416763722,28585.25287543675,90329.39908638012,0.0,28585.25287543675,90329.39908638012,28585.25287543675,90329.39908638012,,0.0,0.0,28585.25287543675,90329.39908638012,26903.767412175763,14314.0,0.532044444954648,Shortened Flight (Possible Direct Routing),1,0.0,28584.25349789555,3.4962520230726026e-05,0.9994871490484888,distance_km
8964f9,1662020221.0,0.0,1662055062,0.0,ETD871  ,Unknown,Unknown,OMAA,Unknown,787-9 Dreamliner,B789,A6-BLT,1662020221.0,1662055062.0,No Weather Info,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",4901.422174164907,22056.399783742083,69698.22331662498,0.0,22056.399783742083,69698.22331662498,22056.399783742083,69698.22331662498,,0.0,0.0,22056.399783742083,69698.22331662498,20758.96450234549,34841.0,1.6783592455232257,Holding/Reroute,1,3324.9250480573146,22086.82246029114,0.0013774130074053039,0.9994871490484888,distance_km
8964f9,1661993956.0,0.0,1662002842,0.0,ETD878  ,Unknown,Unknown,RJAK,Unknown,787-9 Dreamliner,B789,A6-BLT,1661993956.0,1662002842.0,No Weather Info,No Weather Info,3310.855058427512,14898.847762923802,47080.35893083922,0.0,14898.847762923802,47080.35893083922,14898.847762923804,47080.358930839226,,0.0,0.0,14898.847762923804,47080.358930839226,14022.444953340051,8886.0,0.6336983336050405,Shortened Flight (Possible Direct Routing),1,0.0,14894.450950850965,0.0002951979960421068,0.9994871490484888,distance_km
896397,1662042990.0,1662042825.0,1662058984,1662058982.0,ETD177C ,LGAV,LGAV,OMAA,OMAA,A320 232SL,A320,A6-EIV,1662042825.0,1662058982.0,"LGAV 091120Z 05013KT 9999 FEW018 BKN030 BKN070 10/02 Q1021 NOSIG,LGAV,2025-04-09T11:20:00Z,37.936,23.945,10,2,50,13,,6+,30.15,,,,,,TRUE,,,,,FEW,1800,BKN,3000,BKN,7000,,,MVFR,,,,,,,,,,,,METAR,83","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",5891.038914794859,26509.675116576866,83770.5733683829,0.05,27835.15887240571,87959.10203680205,26509.675116576866,83770.5733683829,50.0,13.0,0.02,27039.868618908404,85445.98483575055,24950.28246266058,15994.0,0.6410348269177261,Shortened Flight (Possible Direct Routing),1,0.0,27039.435265860633,1.602670482980809e-05,0.9994871490484888,distance_km
896397,1662013418.0,1662013386.0,1662027116,0.0,ETD177A ,OMAA,OMAA,Unknown,LGSR,A320 232SL,A320,A6-EIV,1662013386.0,1662027116.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",No Weather Info,3117.595708482399,14029.180688170796,44332.21097461972,0.05,14730.639722579335,46548.82152335071,14029.180688170796,44332.21097461972,290.0,14.0,0.02,14309.764301934212,45218.85519411211,13203.93476533722,13698.0,1.0374180305676604,Normal,0,0.0,14299.782628505525,0.0006980297315001987,0.9994871490484888,distance_km
896397,1661995835.0,0.0,1661999338,0.0,ETD320  ,OEDF,Unknown,OMAA,Unknown,A320 232SL,A320,A6-EIV,1661995835.0,1661999338.0,"OEDF 091100Z 35014KT CAVOK 39/M02 Q1010 NOSIG,OEDF,2025-04-09T11:00:00Z,26.45,49.817,39,-2,350,14,,6+,29.82,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,15","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",2961.06097229203,13324.774375314137,42106.28702599267,0.05,13991.013094079844,44211.6013772923,13324.774375314137,42106.28702599267,350.0,14.0,0.02,13591.26986282042,42948.41276651253,12540.964117942714,3503.0,0.2793246170753458,Shortened Flight (Possible Direct Routing),1,0.0,13589.130403413614,0.00015743902246082047,0.9994871490484888,distance_km
896488,1662036524.0,0.0,1662055756,0.0,ETD407  ,VTBS,Unknown,OMAA,Unknown,787 9,B789,A6-BLH,1662036524.0,1662055756.0,"VTBS 091100Z 20013KT 9999 FEW020 32/22 Q1006 NOSIG,VTBS,2025-04-09T11:00:00Z,13.686,100.767,32,22,200,13,,6+,29.70,,,,,,TRUE,,,,,FEW,2000,,,,,,,VFR,,,,,,,,,,,,METAR,1","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",3158.168927028816,14211.760171629672,44909.16214234976,0.05,14922.348180211156,47154.62024946725,14211.760171629672,44909.16214234976,200.0,13.0,0.02,14495.995375062266,45807.34538519677,13375.774279180869,19232.0,1.4378233064185475,Holding/Reroute,1,1382.7199618600723,14493.634297190594,0.00016290447400964768,0.9994871490484888,distance_km
896488,1661993189.0,0.0,1661994503,0.0,ETD402  ,Unknown,Unknown,VTBS,Unknown,787 9,B789,A6-BLH,1661993189.0,1661994503.0,No Weather Info,"VTBS 091100Z 20013KT 9999 FEW020 32/22 Q1006 NOSIG,VTBS,2025-04-09T11:00:00Z,13.686,100.767,32,22,200,13,,6+,29.70,,,,,,TRUE,,,,,FEW,2000,,,,,,,VFR,,,,,,,,,,,,METAR,1",6393.592455200525,28771.166048402363,90916.88471295148,0.0,28771.166048402363,90916.88471295148,28771.166048402363,90916.88471295148,,0.0,0.0,28771.166048402363,90916.88471295148,27078.7445161434,1314.0,0.048525144849926,Shortened Flight (Possible Direct Routing),1,0.0,28773.17285370488,6.974570766736361e-05,0.9994871490484888,distance_km
89643d,1662012999.0,0.0,1662043298,0.0,ETD654  ,OMAA,Unknown,OMAA,Unknown,A321 231SL,A321,A6-AEG,1662012999.0,1662043298.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",4401.505617865137,19806.775280393114,62589.409886042245,0.05,20797.11404441277,65718.88038034436,19806.775280393114,62589.409886042245,290.0,14.0,0.02,20202.91078600097,63841.19808376308,18641.67085213469,30299.0,1.6253371406635688,Holding/Reroute,1,2752.424937690419,20198.2601764509,0.00023024802678262674,0.9994871490484888,distance_km
89643d,1661998511.0,0.0,1661999697,0.0,ETD275  ,Unknown,Unknown,OMAA,Unknown,A321 231SL,A321,A6-AEG,1661998511.0,1661999697.0,No Weather Info,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",3973.409245659185,17880.341605466332,56501.87947327361,0.0,17880.341605466332,56501.87947327361,17880.341605466332,56501.87947327361,,0.0,0.0,17880.341605466332,56501.87947327361,16828.556805144784,1186.0,0.0704754432440349,Shortened Flight (Possible Direct Routing),1,0.0,17879.76497244417,3.225059294973074e-05,0.9994871490484888,distance_km
896489,1662021952.0,1662021931.0,1662040993,1662041307.0,ETD78G  ,LIRF,LIRF,OMAA,OMAA,787 9,B789,A6-BLI,1662021931.0,1662041307.0,"LIRF 091120Z 17010KT 140V200 9999 SCT035 17/06 Q1023 NOSIG,LIRF,2025-04-09T11:20:00Z,41.8,12.239,17,6,170,10,,6+,30.21,,,,,,TRUE,,,,,SCT,3500,,,,,,,VFR,,,,,,,,,,,,METAR,2","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",6959.376737967525,31317.19532085386,98962.3372138982,0.05,32883.05508689656,103910.45407459312,31317.19532085386,98962.3372138982,170.0,10.0,0.02,31943.53922727094,100941.58395817615,29475.007360803636,19041.0,0.6460049277314531,Shortened Flight (Possible Direct Routing),1,0.0,31904.65261308579,0.0012188383511563742,0.9994871490484888,distance_km
896489,1661991256.0,0.0,1662002699,0.0,ETD85   ,Unknown,Unknown,LIRF,Unknown,787 9,B789,A6-BLI,1661991256.0,1662002699.0,No Weather Info,"LIRF 091120Z 17010KT 140V200 9999 SCT035 17/06 Q1023 NOSIG,LIRF,2025-04-09T11:20:00Z,41.8,12.239,17,6,170,10,,6+,30.21,,,,,,TRUE,,,,,SCT,3500,,,,,,,VFR,,,,,,,,,,,,METAR,2",4784.521023269573,21530.34460471308,68035.88895089334,0.0,21530.34460471308,68035.88895089334,21530.34460471308,68035.88895089334,,0.0,0.0,21530.34460471308,68035.88895089334,20263.85374561231,11443.0,0.5647000883273612,Shortened Flight (Possible Direct Routing),1,0.0,21529.087296215206,5.840045518758146e-05,0.9994871490484888,distance_km
8964fa,1662035671.0,0.0,1662057985,0.0,ETD473  ,Unknown,Unknown,OMAA,Unknown,B787-9,Unknown,A6-BLU,1662035671.0,1662057985.0,No Weather Info,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",3322.8591855304567,14952.866334887054,47251.057618243096,0.0,14952.866334887054,47251.057618243096,14952.866334887054,47251.057618243096,,0.0,0.0,14952.866334887054,47251.057618243096,14073.28596224664,22314.0,1.585557208164469,Holding/Reroute,1,1945.7241478028768,14954.308230073755,9.642005263749282e-05,0.9994871490484888,distance_km
8964fa,1661991978.0,0.0,1661995607,0.0,ETD470  ,Unknown,Unknown,Unknown,Unknown,B787-9,Unknown,A6-BLU,1661991978.0,1661995607.0,No Weather Info,No Weather Info,4690.376140056994,21106.69263025647,66697.14871161045,0.0,21106.69263025647,66697.14871161045,21106.69263025647,66697.14871161045,,0.0,0.0,21106.69263025647,66697.14871161045,19865.122475535503,3629.0,0.1826819846929825,Shortened Flight (Possible Direct Routing),1,0.0,21104.5123608659,0.00010330820979370497,0.9994871490484888,distance_km
8963cf,1662017437.0,0.0,1662066991,0.0,ETD19G  ,OMAA,Unknown,KIAD,Unknown,787 9,B789,A6-BLB,1662017437.0,1662066991.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","KIAD 091052Z 00000KT 10SM CLR M03/M08 A3028 RMK AO2 SLP256 T10281083,KIAD,2025-04-09T10:52:00Z,38.9348,-77.4473,-2.8,-8.3,0,0,,10+,30.28,1025.6,,,TRUE,,,,,,,CLR,,,,,,,,VFR,,,,,,,,,,,,METAR,90",4284.031100998147,19278.13995449166,60918.92225619365,0.05,20242.04695221625,63964.868369003336,19278.13995449166,60918.92225619365,290.0,14.0,0.02,19663.70275358149,62137.30070131752,18144.131721874503,49554.0,2.7311309661766763,Holding/Reroute,1,7416.218899001852,19662.58430587165,5.6882029973320336e-05,0.9994871490484888,distance_km
896534,1662054856.0,0.0,1662068535,0.0,ETD268  ,OMAA,Unknown,VOMM,Unknown,787-9 Dreamliner,B789,A6-BLW,1662054856.0,1662068535.0,"OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13","VOMM 091100Z 10012KT 6000 FEW020 33/25 Q1006 NOSIG,VOMM,2025-04-09T11:00:00Z,12.994,80.18,33,25,100,12,,3.73,29.70,,,,,,TRUE,,,,,FEW,2000,,,,,,,MVFR,,,,,,,,,,,,METAR,7",4633.873507491815,20852.430783713167,65893.6812765336,0.05,21895.052322898828,69188.3653403603,20852.430783713167,65893.6812765336,290.0,14.0,0.02,21269.47939938743,67211.55490206428,19625.817208200628,13679.0,0.6969900847891441,Shortened Flight (Possible Direct Routing),1,0.0,21261.179095371615,0.00039039716370300114,0.9994871490484888,distance_km
896534,1662028445.0,1662028446.0,1662047656,1662047655.0,ETD99P  ,EDDM,EDDM,OMAA,OMAA,787-9 Dreamliner,B789,A6-BLW,1662028446.0,1662047655.0,"EDDM 091120Z AUTO 34008KT 310V020 CAVOK 10/M00 Q1022 NOSIG,EDDM,2025-04-09T11:20:00Z,48.348,11.813,10,0,340,8,,6+,30.18,,,TRUE,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,445","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",5547.602033434534,24964.209150455405,78886.90091543908,0.05,26212.419607978176,82831.24596121104,24964.209150455405,78886.90091543908,340.0,8.0,0.0,24964.209150455405,78886.90091543908,23495.726259252144,19211.0,0.8176380584292471,Normal,0,0.0,24964.015172723346,7.770293789538467e-06,0.9994871490484888,distance_km
896534,1661997890.0,0.0,1662006559,0.0,ETD33V  ,Unknown,Unknown,EDDM,Unknown,787-9 Dreamliner,B789,A6-BLW,1661997890.0,1662006559.0,No Weather Info,"EDDM 091120Z AUTO 34008KT 310V020 CAVOK 10/M00 Q1022 NOSIG,EDDM,2025-04-09T11:20:00Z,48.348,11.813,10,0,340,8,,6+,30.18,,,TRUE,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,445",4139.774219127338,18628.98398607302,58867.58939599075,0.0,18628.98398607302,58867.58939599075,18628.98398607302,58867.58939599075,,0.0,0.0,18628.98398607302,58867.58939599075,17533.16139865696,8669.0,0.4944345062986784,Shortened Flight (Possible Direct Routing),1,0.0,18631.446392516293,0.00013216399797392965,0.9994871490484888,distance_km
89643e,1662029478.0,0.0,1662039846,0.0,ETD599  ,LLBG,Unknown,OMAA,Unknown,A321 231SL,A321,A6-AEH,1662029478.0,1662039846.0,"LLBG 091120Z 32014KT 9999 FEW030 22/13 Q1013 NOSIG,LLBG,2025-04-09T11:20:00Z,32.011,34.887,22,13,320,14,,6+,29.91,,,,,,TRUE,,,,,FEW,3000,,,,,,,VFR,,,,,,,,,,,,METAR,35","OMAA 091100Z 29014KT 260V320 CAVOK 30/17 Q1008 NOSIG,OMAA,2025-04-09T11:00:00Z,24.433,54.651,30,17,290,14,,6+,29.76,,,,,,TRUE,,,,,CAVOK,,,,,,,,VFR,,,,,,,,,,,,METAR,13",6449.603992332184,29023.217965494827,91713.36877096366,0.05,30474.37886376957,96299.03720951184,29023.217965494827,91713.36877096366,320.0,14.0,0.02,29603.68232480472,93547.63614638292,27315.969849877485,10368.0,0.3795581872794643,Shortened Flight (Possible Direct Routing),1,0.0,29604.310883497004,2.1231998770701666e-05,0.9994871490484888,distance_km
